hero_id,hero_name,pos1_count,pos2_count,pos3_count,pos4_count,pos5_count,total_role_games,pos1_prob,pos2_prob,pos3_prob,pos4_prob,pos5_prob,core_prob,support_prob,flex_score,role_source
1,Anti-Mage,82,1,5,0,0,88,0.8924731182795699,0.021505376344086023,0.06451612903225806,0.010752688172043012,0.010752688172043012,0.978494623655914,0.021505376344086023,0.10752688172043012,data_inferred
2,Axe,0,0,517,10,10,537,0.0018450184501845018,0.0018450184501845018,0.955719557195572,0.02029520295202952,0.02029520295202952,0.959409594095941,0.04059040590405904,0.044280442804428,data_inferred
3,Bane,0,1,0,85,320,406,0.0024330900243309003,0.004866180048661801,0.0024330900243309003,0.20924574209245742,0.781021897810219,0.009732360097323601,0.9902676399026764,0.21897810218978098,data_inferred
4,Bloodseeker,76,0,3,1,0,80,0.9058823529411765,0.011764705882352941,0.047058823529411764,0.023529411764705882,0.011764705882352941,0.9647058823529411,0.03529411764705882,0.09411764705882353,data_inferred
5,Crystal Maiden,0,0,0,16,267,283,0.003472222222222222,0.003472222222222222,0.003472222222222222,0.059027777777777776,0.9305555555555556,0.010416666666666666,0.9895833333333334,0.06944444444444442,data_inferred
6,Drow Ranger,128,5,0,0,0,133,0.9347826086956522,0.043478260869565216,0.007246376811594203,0.007246376811594203,0.007246376811594203,0.9855072463768116,0.014492753623188406,0.06521739130434778,data_inferred
7,Earthshaker,14,255,74,83,4,430,0.034482758620689655,0.5885057471264368,0.1724137931034483,0.19310344827586207,0.011494252873563218,0.7954022988505747,0.20459770114942527,0.4114942528735632,data_inferred
8,Juggernaut,217,0,0,0,0,217,0.9819819819819819,0.0045045045045045045,0.0045045045045045045,0.0045045045045045045,0.0045045045045045045,0.9909909909909909,0.009009009009009009,0.018018018018018056,data_inferred
9,Mirana,13,1,2,83,117,216,0.06334841628959276,0.00904977375565611,0.013574660633484163,0.38009049773755654,0.5339366515837104,0.08597285067873303,0.9140271493212669,0.4660633484162896,data_inferred
10,Morphling,529,25,2,20,1,577,0.9106529209621993,0.044673539518900345,0.005154639175257732,0.03608247422680412,0.003436426116838488,0.9604810996563573,0.03951890034364261,0.0893470790378007,data_inferred
11,Shadow Fiend,419,263,0,0,0,682,0.611353711790393,0.38427947598253276,0.001455604075691412,0.001455604075691412,0.001455604075691412,0.9970887918486172,0.002911208151382824,0.388646288209607,data_inferred
12,Phantom Lancer,47,0,0,0,0,47,0.9230769230769231,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.9615384615384617,0.038461538461538464,0.07692307692307687,data_inferred
13,Puck,3,1148,0,9,1,1161,0.003430531732418525,0.9854202401372213,0.0008576329331046312,0.008576329331046312,0.0017152658662092624,0.9897084048027444,0.010291595197255575,0.014579759862778707,data_inferred
14,Pudge,25,18,23,132,26,224,0.11353711790393013,0.08296943231441048,0.10480349344978165,0.5807860262008734,0.11790393013100436,0.3013100436681223,0.6986899563318778,0.4192139737991266,data_inferred
15,Razor,182,109,100,0,0,391,0.4621212121212121,0.2777777777777778,0.255050505050505,0.0025252525252525255,0.0025252525252525255,0.9949494949494948,0.005050505050505051,0.5378787878787878,data_inferred
